label,num_filters1,num_filters2,hidden_nodes,dropout_rate,kernel_size,batch_size,num_epochs,best_test_acc,best_epoch,param_count,train_time_s
nf=8,8,20,50,0.5,5,128,8,86.59,8,20788,54.1
nf=10,10,20,50,0.5,5,128,8,86.17,8,21840,61.2
nf=16,16,20,50,0.5,5,128,8,87.27,8,24996,57.8
nf=32,32,20,50,0.5,5,128,8,87.21,8,33412,56.5
nf=64,64,20,50,0.5,5,128,8,87.99,8,50244,62.5
nf=128,128,20,50,0.5,5,128,8,87.6,8,83908,70.1
nf=256,256,20,50,0.5,5,128,8,88.62,8,151236,146.3
nf=512,512,20,50,0.5,5,128,8,88.56,7,285892,338.8
nf=1024,1024,20,50,0.5,5,128,8,88.33,7,555204,295.1
hn=100,10,20,100,0.5,5,128,8,86.31,8,38390,62.7
hn=200,10,20,200,0.5,5,128,8,86.22,8,71490,62.5
hn=400,10,20,400,0.5,5,128,8,86.54,8,137690,61.8
hn=500,10,20,500,0.5,5,128,8,86.7,7,170790,62.1
hn=600,10,20,600,0.5,5,128,8,86.83,8,203890,61.4
hn=700,10,20,700,0.5,5,128,8,87.18,7,236990,63.6
hn=800,10,20,800,0.5,5,128,8,87.02,8,270090,62.0
hn=1000,10,20,1000,0.5,"",128,8,87.04,8,336290,64.3
dr=0.1,10,20,50,0.1,5,128,8,86.48,8,21840,62.8
dr=0.2,10,20,50,0.2,5,128,8,86.54,8,21840,61.4
dr=0.3,10,20,50,0.3,5,128,8,87.06,8,21840,59.3
dr=0.7,10,20,50,0.7,5,128,8,85.96,7,21840,61.0
dr=0.9,10,20,50,0.9,5,128,8,83.88,7,21840,63.1
R_nf=256|hn=1000|dr=0.5,256,20,1000,0.5,5,128,8,89.01,8,465686,110.3
R_nf=256|hn=1000|dr=0.2,256,20,1000,0.2,5,128,8,88.95,8,465686,114.7
R_nf=256|hn=200|dr=0.5,256,20,200,0.5,5,128,8,88.85,7,200886,114.0
R_nf=128|hn=1000|dr=0.5,128,20,1000,0.5,5,128,8,88.35,8,398358,90.6
R_nf=256|hn=700|dr=0.5,256,20,700,0.5,5,128,8,88.72,8,366386,116.2
R_nf=256|hn=1000|dr=0.1,256,20,1000,0.1,5,128,8,88.72,7,465686,89.6
R_nf=256|hn=800|dr=0.5,256,20,800,0.5,5,128,8,88.8,7,399486,94.1
R_nf=256|hn=1000|dr=0.3,256,20,1000,0.3,5,128,8,89.35,8,465686,112.8
R_nf=256|hn=500|dr=0.3,256,20,500,0.3,5,128,8,89.09,7,300186,109.0
R_nf=256|hn=1000|dr=0.7,256,20,1000,0.7,5,128,8,88.56,8,465686,109.3
R_nf=256|hn=100|dr=0.3,256,20,100,0.3,5,128,8,88.96,7,167786,112.1
R_nf=256|hn=50|dr=0.3,256,20,50,0.3,5,128,8,88.21,7,151236,112.4
R_nf=32|hn=1000|dr=0.3,32,20,1000,0.3,5,128,8,87.58,8,347862,64.1
R_nf=10|hn=1000|dr=0.3,10,20,1000,0.3,5,128,8,86.36,8,336290,64.0
R_nf=256|hn=1000|dr=0.9,256,20,1000,0.9,5,128,8,82.5,6,465686,114.0
R_nf=512|hn=1000|dr=0.3,512,20,1000,0.3,5,128,8,89.19,8,600342,145.9
R_nf=256|hn=400|dr=0.3,256,20,400,0.3,5,128,8,88.65,8,267086,101.7
R_nf=1024|hn=1000|dr=0.3,1024,20,1000,0.3,5,128,8,89.66,8,869654,184.3
R_nf=1024|hn=400|dr=0.3,1024,20,400,0.3,5,128,8,89.47,8,671054,262.3
R_nf=1024|hn=1000|dr=0.7,1024,20,1000,0.7,5,128,8,88.05,8,869654,273.6
R_nf=1024|hn=1000|dr=0.2,1024,20,1000,0.2,5,128,8,89.89,8,869654,275.9
R_nf=1024|hn=1000|dr=0.1,1024,20,1000,0.1,5,128,8,89.77,8,869654,265.0
R_nf=128|hn=1000|dr=0.2,128,20,1000,0.2,5,128,8,88.87,8,398358,90.2
R_nf=1024|hn=1000|dr=0.5,1024,20,1000,0.5,5,128,8,87.8,5,869654,173.8
R_nf=1024|hn=1000|dr=0.9,1024,20,1000,0.9,5,128,8,76.89,3,869654,301.1
R_nf=1024|hn=800|dr=0.2,1024,20,800,0.2,5,128,8,89.18,7,803454,335.2
R_nf=1024|hn=700|dr=0.2,1024,20,700,0.2,5,128,8,89.51,8,770354,246.0
R_nf=16|hn=1000|dr=0.2,16,20,1000,0.2,5,128,8,87.33,7,339446,64.7
R_nf=1024|hn=100|dr=0.2,1024,20,100,0.2,5,128,8,88.88,8,571754,253.5
R_nf=10|hn=1000|dr=0.2,10,20,1000,0.2,5,128,8,87.26,7,336290,64.2
R_nf=1024|hn=600|dr=0.2,1024,20,600,0.2,5,128,8,89.25,8,737254,243.9
R_nf=512|hn=1000|dr=0.2,512,20,1000,0.2,5,128,8,89.56,8,600342,118.7
R_nf=1024|hn=200|dr=0.2,1024,20,200,0.2,5,128,8,89.49,8,604854,240.2
R_nf=32|hn=1000|dr=0.2,32,20,1000,0.2,5,128,8,87.98,8,347862,64.5
R_nf=8|hn=1000|dr=0.2,8,20,1000,0.2,5,128,8,87.78,8,335238,64.4
R_nf=1024|hn=500|dr=0.2,1024,20,500,0.2,5,128,8,89.49,7,704154,261.9
R_nf=64|hn=1000|dr=0.2,64,20,1000,0.2,5,128,8,88.88,8,364694,69.1
R_nf=1024|hn=400|dr=0.2,1024,20,400,0.2,5,128,8,89.46,8,671054,250.7
R_nf=1024|hn=50|dr=0.2,1024,20,50,0.2,5,128,8,89.44,8,555204,258.1
